drugbank_id	name	z_score_pan	z_score_sars	z_score_mers	z_score_ibv	z_score_mhv	p_value_pan	p_value_sars	p_value_mers	p_value_ibv	p_value_mhv
DB00560	Tigecycline	-0.684	-0.47	-0.841	-0.54	-0.904	0.152	0.427	0.018	0.162	0.052
DB04933	Eritoran	-0.684	-0.499	-0.082	-0.373	-1.092	0.105	0.319	0.383	0.192	0.011
DB08740	"CYCLOHEXYLMETHYL-2,3-DIHYDROXY-5-METHYL-HEXYLAMIDE"	-0.684	-0.701	-0.082	-1.191	-0.935	0.105	0.146	0.383	0.025	0.03
DB08894	Peginesatide	-0.684	-0.398	-0.082	-0.373	-1.092	0.105	0.415	0.383	0.192	0.011
DB08923		-0.684	-0.398	-0.082	-0.373	-1.092	0.105	0.415	0.383	0.192	0.011
DB09107	Methoxy polyethylene glycol-epoetin beta	-0.684	-0.398	-0.082	-0.373	-1.092	0.105	0.415	0.383	0.192	0.011
DB00282	Pamidronic acid	-0.682	-0.521	0.16	-0.622	-0.885	0.167	0.366	0.609	0.122	0.033
DB00710	Ibandronate	-0.682	-0.521	0.16	-0.622	-0.885	0.167	0.366	0.609	0.122	0.033
DB00861	Diflunisal	-0.682	-1.375	2.21	-1.274	-0.156	0.203	0.06	0.979	0.074	0.347
DB00884	Risedronic acid	-0.682	-0.521	0.16	-0.622	-0.885	0.167	0.366	0.609	0.122	0.033
DB06255	Incadronic acid	-0.682	-0.521	0.16	-0.622	-0.885	0.167	0.366	0.609	0.122	0.033
DB11620	Neridronic Acid	-0.682	-0.521	0.16	-0.622	-0.885	0.167	0.366	0.609	0.122	0.033
DB00196	Fluconazole	-0.681	-0.259	-0.093	-0.515	-0.789	0.176	0.259	0.298	0.205	0.129
DB03403	Cytidine-5'-Monophosphate	-0.681	0.178	-3.088	-0.134	-0.932	0.103	0.674	0	0.231	0.065
DB08910	Pomalidomide	-0.681	-0.752	-2.159	-0.002	-0.769	0.198	0.182	0.009	0.349	0.155
DB00026	Anakinra	-0.68	-0.562	0.118	-0.687	-0.842	0.251	0.368	0.573	0.099	0.067
DB00705	Delavirdine	-0.68	-0.572	1.131	0.055	-0.794	0.069	0.186	0.836	0.488	0.065
DB03316	"1,4-Diethylene Dioxide"	-0.68	-0.673	1.205	-1.125	-0.555	0.124	0.156	0.833	0.055	0.19
DB03861	"(2r,3r,4s,5r)-2-Acetamido-3,4-Dihydroxy-5-Hydroxymethyl-Piperidinium"	-0.68	-0.49	-0.596	-0.771	-0.905	0.18	0.394	0.165	0.068	0.068
DB01022	Phylloquinone	-0.679	-0.632	0.118	-0.643	-0.922	0.113	0.232	0.567	0.116	0.032
DB05266	Ibudilast	-0.679	0.147	1.181	-0.679	-1.102	0.197	0.509	0.807	0.136	0.09
DB07771	"[(3,7,11-TRIMETHYL-DODECA-2,6,10-TRIENYLOXYCARBAMOYL)-METHYL]-PHOSPHONIC ACID"	-0.677	0.246	1.035	1.126	-1.273	0.205	0.532	0.744	0.709	0.061
DB08371	PARA-(BENZOYL)-PHENYLALANINE	-0.676	-0.352	-0.145	-0.149	-0.628	0.172	0.311	0.12	0.31	0.18
DB00667		-0.675	-0.473	0.12	-0.368	-0.82	0.212	0.469	0.573	0.394	0.086
DB00927	Famotidine	-0.675	-0.612	0.396	-0.606	-0.218	0.17	0.193	0.473	0.182	0.283
DB05318		-0.675	-0.516	0.618	-1.35	-0.862	0.09	0.252	0.75	0.01	0.045
DB05891		-0.675	-0.473	0.12	-0.368	-0.82	0.212	0.469	0.573	0.394	0.086
DB11320		-0.675	-0.473	0.12	-0.368	-0.82	0.212	0.469	0.573	0.394	0.086
DB03978	Tyrosinal	-0.668	-0.431	0.17	-0.054	-0.902	0.108	0.268	0.465	0.285	0.086
DB07562	"N-[4-(2,4-DIMETHYL-THIAZOL-5-YL)-PYRIMIDIN-2-YL]-N',N'-DIMETHYL-BENZENE-1,4-DIAMINE"	-0.668	0.237	-1.207	-1.478	-0.476	0.157	0.531	0.087	0.045	0.204
DB07644	"5-[(1S)-1-(3-chlorophenyl)ethoxy]quinazoline-2,4-diamine"	-0.668	-0.689	1.036	0.045	-1.11	0.098	0.134	0.805	0.281	0.028
DB01528	"4-Methyl-2,5-dimethoxyamphetamine"	-0.667	-0.61	0.087	-0.667	-1.093	0.17	0.243	0.567	0.099	0.016
DB02059	Adenosine-5-Diphosphoribose	-0.667	-0.633	0.495	-0.352	-1.156	0.201	0.217	0.359	0.296	0.089
DB06210	Eltrombopag	-0.667	-0.392	0.005	-0.536	-1.349	0.102	0.34	0.437	0.144	0
DB11294	Coccidioides immitis spherule	-0.666	-0.553	-1.398	-0.014	-0.573	0.138	0.27	0.024	0.368	0.221
DB00024	Thyrotropin alfa	-0.665	-0.622	0.276	-0.46	-0.859	0.135	0.26	0.62	0.184	0.071
DB00557	Hydroxyzine	-0.665	-0.528	-0.305	-0.765	-0.994	0.175	0.371	0.36	0.063	0.021
DB02726	2-Phosphoglycolic Acid	-0.664	-0.812	0.093	-0.2	-0.551	0.227	0.176	0.233	0.327	0.224
DB04957	Azimilide	-0.663	-0.676	0.646	-0.278	-0.763	0.113	0.133	0.726	0.205	0.088
DB04200	Matairesinol	-0.661	-0.562	-0.15	-0.14	-1.086	0.072	0.198	0.334	0.287	0.009
DB01108	Trilostane	-0.66	0.523	-0.281	-2.264	-0.982	0.159	0.677	0.287	0.012	0.096
DB06774	Capsaicin	-0.66	-1.071	0.22	-0.906	-0.177	0.219	0.108	0.411	0.126	0.338
DB07677	"2-methyl-3,5,7,8-tetrahydro-4H-thiopyrano[4,3-d]pyrimidin-4-one"	-0.66	0.221	-1.931	-2.051	0.566	0.185	0.604	0.01	0.011	0.698
DB08058	"4-[3-(1,4-diazepan-1-ylcarbonyl)-4-fluorobenzyl]phthalazin-1(2H)-one"	-0.66	0.221	-1.931	-2.051	0.566	0.185	0.604	0.01	0.011	0.698
DB03731	S-2-(Boronoethyl)-L-Cysteine	-0.659	-0.574	0.254	-1.333	-1.218	0.145	0.229	0.59	0.007	0.007
DB03758	Radicicol	-0.659	-0.875	-0.783	0.247	-1.017	0.157	0.108	0.112	0.525	0.116
DB08752	N-[(1S)-2-[(4-cyano-1-methylpiperidin-4-yl)amino]-1-(cyclohexylmethyl)-2-oxoethyl]morpholine-4-carboxamide	-0.659	-0.662	0.584	-0.342	-0.629	0.108	0.144	0.697	0.191	0.175
DB00807	Proparacaine	-0.657	-0.382	0.424	-0.662	-1.084	0.106	0.376	0.674	0.09	0.005
DB09292	Sacubitril	-0.657	-0.691	-2.082	0.283	-0.324	0.096	0.12	0.003	0.514	0.364
DB06439	Tyloxapol	-0.656	-0.588	0.156	-0.702	-0.829	0.155	0.283	0.598	0.08	0.064
DB07691	"2-({[3-(3,4-dihydroisoquinolin-2(1H)-ylsulfonyl)phenyl]carbonyl}amino)benzoic acid"	-0.656	-0.104	1.059	1.146	-2.158	0.212	0.423	0.768	0.708	0.004
DB00741	Hydrocortisone	-0.652	-0.086	-0.812	-1.34	-1.101	0.14	0.367	0.158	0.06	0.077
DB00625	Efavirenz	-0.65	-0.511	0.398	-0.428	-1.087	0.122	0.29	0.669	0.185	0.002
DB01181	Ifosfamide	-0.65	-0.511	0.398	-0.428	-1.087	0.122	0.29	0.669	0.185	0.002
DB01220	Rifaximin	-0.65	-0.511	0.398	-0.428	-1.087	0.122	0.29	0.669	0.185	0.002
DB01272	Alglucosidase alfa	-0.65	-0.527	0.138	-0.672	-0.94	0.187	0.376	0.606	0.093	0.022
DB08807	Bopindolol	-0.65	-0.31	-2.416	0.305	-1.731	0.216	0.328	0	0.507	0.026
DB08864	Rilpivirine	-0.65	-0.511	0.398	-0.428	-1.087	0.122	0.29	0.669	0.185	0.002
DB00473	Hexylcaine	-0.649	-0.51	0.496	-0.69	-0.984	0.185	0.346	0.695	0.121	0.034
DB08871	Eribulin	-0.649	-0.151	0.02	-0.94	-0.29	0.199	0.4	0.155	0.133	0.316
DB06725	Lornoxicam	-0.648	-0.367	1.524	-1.327	-1.263	0.109	0.31	0.883	0.035	0.029
DB01929	"5-Chloryl-2,4,6-Quinazolinetriamine"	-0.647	-0.409	-0.062	0.098	-1.18	0.103	0.316	0.4	0.53	0.019
DB01958	"5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine"	-0.647	-0.409	-0.062	0.098	-1.18	0.103	0.316	0.4	0.53	0.019
DB02001	"5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine"	-0.647	-0.409	-0.062	0.098	-1.18	0.103	0.316	0.4	0.53	0.019
DB02402	"5-(4-Methoxyphenoxy)-2,4-Quinazolinediamine"	-0.647	-0.409	-0.062	0.098	-1.18	0.103	0.316	0.4	0.53	0.019
DB04163	"5-Phenylsulfanyl-2,4-Quinazolinediamine"	-0.647	-0.409	-0.062	0.098	-1.18	0.103	0.316	0.4	0.53	0.019
DB07862	"7-(1-ETHYL-PROPYL)-7H-PYRROLO-[3,2-F]QUINAZOLINE-1,3-DIAMINE"	-0.647	-0.409	-0.062	0.098	-1.18	0.103	0.316	0.4	0.53	0.019
DB06726	Bufuralol	-0.646	-0.13	-1.896	0.362	-1.174	0.223	0.396	0.015	0.516	0.076
DB00004	Denileukin diftitox	-0.643	-0.26	0.405	0.442	-1.838	0.207	0.339	0.54	0.397	0.01
DB00041	Aldesleukin	-0.643	-0.26	0.405	0.442	-1.838	0.207	0.339	0.54	0.397	0.01
DB00537	Ciprofloxacin	-0.643	-0.452	0.67	-0.957	0.042	0.19	0.279	0.621	0.11	0.446
DB01208	Sparfloxacin	-0.643	-0.452	0.67	-0.957	0.042	0.19	0.279	0.621	0.11	0.446
DB04608	"9-HYDROXY-4-PHENYL-6H-PYRROLO[3,4-C]CARBAZOLE-1,3-DIONE"	-0.643	-0.659	0.392	-0.352	-0.782	0.215	0.193	0.278	0.282	0.16
DB08569	"3-PYRIDIN-4-YL-2,4-DIHYDRO-INDENO[1,2-.C.] PYRAZOLE"	-0.642	-1.198	-0.386	-0.156	-0.362	0.149	0.075	0.189	0.326	0.22
DB02597	"[2(R,S)-2-Sulfanylheptanoyl]-Phe-Ala"	-0.639	-0.589	-2.259	1.044	0.045	0.122	0.188	0.003	0.827	0.573
DB03401	"1D-myo-inositol 1,4,5-trisphosphate"	-0.638	-0.493	0.397	-0.459	-0.942	0.13	0.298	0.653	0.163	0.035
DB03227	Nicotinamide Mononucleotide	-0.637	-0.598	0.855	-1.248	-0.716	0.097	0.176	0.752	0.03	0.104
DB07795	Fisetin	-0.637	-0.264	-0.377	-0.755	-0.009	0.156	0.295	0.257	0.165	0.406
DB08883	Perampanel	-0.637	-0.506	0.079	-0.677	-0.821	0.29	0.463	0.554	0.106	0.081
DB00866	Alprenolol	-0.635	0.237	-2.127	-1.217	-1.667	0.144	0.532	0.011	0.077	0.033
DB05219	Crisaborole	-0.635	-0.328	1.348	-0.862	-0.411	0.225	0.316	0.847	0.095	0.261
DB09227	Barnidipine	-0.634	-0.441	0.017	-0.302	-0.805	0.123	0.275	0.412	0.196	0.093
DB01442	MMDA	-0.633	-0.415	0.074	-0.544	-1.41	0.151	0.329	0.505	0.12	0
DB08040	N-[(2R)-2-benzyl-4-(hydroxyamino)-4-oxobutanoyl]-L-alanine	-0.633	-0.1	-2.203	-0.061	0.517	0.217	0.412	0.004	0.31	0.62
DB06228	Rivaroxaban	-0.63	-0.463	0.743	-0.331	-0.774	0.109	0.254	0.768	0.177	0.107
DB03349	8-Bromo-Adenosine-5'-Monophosphate	-0.628	-0.615	0.736	-0.296	-0.781	0.106	0.162	0.725	0.193	0.09
DB03975	Mercuribenzoic Acid	-0.628	-0.284	0.829	-1.276	-1.367	0.128	0.403	0.766	0.024	0.01
DB03314	5-fluorotryptophan	-0.626	-0.457	-0.011	-0.062	-0.841	0.12	0.254	0.404	0.286	0.058
DB03886	Biopterin	-0.626	-0.442	0.455	-0.445	-1.191	0.136	0.317	0.697	0.157	0.011
DB08810	Cinitapride	-0.626	-0.552	-0.169	-0.662	-1.203	0.164	0.275	0.394	0.098	0.003
DB00175	Pravastatin	-0.625	-0.579	0.421	-0.368	-0.784	0.15	0.196	0.667	0.179	0.071
DB03785	"(3r,5r)-7-((1r,2r,6s,8r,8as)-2,6-Dimethyl-8-{[(2r)-2-Methylbutanoyl]Oxy}-1,2,6,7,8,8a-Hexahydronaphthalen-1-Yl)-3,5-Dihydroxyheptanoic Acid"	-0.625	-0.579	0.421	-0.368	-0.784	0.15	0.196	0.667	0.179	0.071
DB01106	Levocabastine	-0.624	-0.526	-0.168	-0.292	-0.623	0.17	0.279	0.387	0.316	0.18
DB05381	Histamine	-0.623	0.364	1.075	-0.388	-0.641	0.222	0.599	0.781	0.274	0.203
DB07283	"9-benzyl-2,3,4,9-tetrahydro-1H-carbazole-8-carboxylic acid"	-0.623	-0.542	0.912	-0.564	-0.909	0.178	0.282	0.82	0.125	0.048
DB01412	Theobromine	-0.622	-0.46	-0.208	-0.281	-0.817	0.134	0.258	0.317	0.189	0.092
DB02109	Hadacidin	-0.622	-0.461	0.424	-0.414	-0.972	0.113	0.283	0.608	0.169	0.019
DB03510	6-O-Phosphoryl Inosine Monophosphate	-0.622	-0.461	0.424	-0.414	-0.972	0.113	0.283	0.608	0.169	0.019
DB07247	"[2'-HYDROXY-3'-(1H-PYRROLO[3,2-C]PYRIDIN-2-YL)-BIPHENYL-3-YLMETHYL]-UREA"	-0.622	-0.502	0.403	-0.433	-1.01	0.103	0.277	0.658	0.152	0.027
DB00937	Diethylpropion	-0.621	-0.411	0.015	-0.687	-0.849	0.28	0.467	0.508	0.085	0.058
DB05578	Ramucirumab	-0.621	-0.502	0.711	-1	-0.76	0.116	0.275	0.75	0.042	0.085
DB00616	Candoxatril	-0.618	-0.483	-2.221	0.664	0.004	0.173	0.255	0.004	0.558	0.498
DB00886	Omapatrilat	-0.618	-0.483	-2.221	0.664	0.004	0.173	0.255	0.004	0.558	0.498
DB03633	Lpc-Ether	-0.618	-0.537	0.205	-1.278	-1.173	0.16	0.292	0.576	0.009	0.003
DB08626	Thiorphan	-0.618	-0.483	-2.221	0.664	0.004	0.173	0.255	0.004	0.558	0.498
DB00262	Carmustine	-0.617	-0.479	0.511	-0.43	-1.223	0.144	0.296	0.688	0.157	0.006
DB02267	Argininosuccinate	-0.617	-0.389	0.205	0.048	-1.136	0.154	0.314	0.454	0.306	0.031
DB04880	Enoximone	-0.617	-0.088	-0.239	-0.451	-1.323	0.16	0.661	0.334	0.159	0.002
DB07405	"1-(6-CYANO-3-PYRIDYLCARBONYL)-5',8'-DIFLUOROSPIRO[PIPERIDINE-4,2'(1'H)-QUINAZOLINE]-4'-AMINE"	-0.617	0.43	0.911	-0.411	-2.435	0.231	0.622	0.718	0.252	0.002
DB09090	Pinaverium	-0.617	-0.408	1.002	-0.451	-0.999	0.16	0.363	0.82	0.159	0.03
DB00065	Infliximab	-0.616	-0.581	-2.189	-0.598	-0.685	0.109	0.185	0.004	0.164	0.132
DB06674	Golimumab	-0.616	-0.581	-2.189	-0.598	-0.685	0.109	0.185	0.004	0.164	0.132
DB08904	Certolizumab pegol	-0.616	-0.581	-2.189	-0.598	-0.685	0.109	0.185	0.004	0.164	0.132
DB02918	Zardaverine	-0.614	0.064	1.171	-1.113	-1.382	0.123	0.578	0.821	0.063	0.016
DB00521	Carteolol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB00789	Gadopentetic acid	-0.613	-0.568	0.112	-0.577	-0.843	0.226	0.342	0.689	0.145	0.122
DB01193	Acebutolol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB01214	Metipranolol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB01291	Pirbuterol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB01297	Practolol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB02640	Fumagillin	-0.613	-0.525	0.562	-0.35	-0.869	0.108	0.232	0.722	0.227	0.034
DB04846	Celiprolol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB08952	Indenolol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB09351	Levobetaxolol	-0.613	0.02	-1.826	0.286	-1.348	0.231	0.477	0.012	0.498	0.038
DB00020	Sargramostim	-0.611	-0.058	-0.202	1.229	-1.722	0.235	0.416	0.135	0.755	0.029
DB01234	Dexamethasone	-0.608	0.021	-0.857	-0.612	-2.046	0.162	0.456	0.122	0.215	0.019
DB03310	Glutathione disulfide	-0.607	-0.473	0.254	-0.538	-1.059	0.202	0.319	0.59	0.14	0.02
DB04395	Phosphoaminophosphonic Acid-Adenylate Ester	-0.606	-0.797	-1.073	0.381	-0.558	0.146	0.151	0.109	0.584	0.226
DB04674	"2-HYDROXY-3,5-DIIODOBENZOIC ACID"	-0.606	-0.479	0.306	-0.524	-0.895	0.161	0.316	0.628	0.131	0.046
DB01836	"[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone"	-0.601	-0.605	0.749	-0.295	-0.772	0.121	0.173	0.742	0.198	0.105
DB02068	Delta-Amino Valeric Acid	-0.601	-0.509	-0.033	-0.67	-0.85	0.262	0.383	0.492	0.096	0.054
DB02269	[4-({[5-Benzyloxy-1-(3-Carbamimidoyl-Benzyl)-1h-Indole-2-Carbonyl]-Amino}-Methyl)-Phenyl]-Trimethyl-Ammonium	-0.601	-0.605	0.749	-0.295	-0.772	0.121	0.173	0.742	0.198	0.105
DB02483	Etheno-Nad	-0.601	-0.573	0.883	-0.821	-1.342	0.156	0.206	0.749	0.112	0.01
DB08228	"5,8-dimethoxy-1,4-dimethylquinolin-2(1H)-one"	-0.599	-0.452	0.216	-0.602	-0.891	0.174	0.381	0.632	0.085	0.043
DB08744	"6-methoxy-9-methyl[1,3]dioxolo[4,5-h]quinolin-8(9H)-one"	-0.599	-0.452	0.216	-0.602	-0.891	0.174	0.381	0.632	0.085	0.043
DB00671	Cefixime	-0.598	0.143	2.04	-1.902	-1.17	0.145	0.479	0.994	0.024	0.072
DB00882	Clomifene	-0.598	0.239	0.378	-0.387	-1.083	0.167	0.534	0.571	0.283	0.095
DB07302	"(9S,10E,12Z)-9-hydroxyoctadeca-10,12-dienoic acid"	-0.598	-0.053	0.216	0.672	-1.596	0.219	0.469	0.414	0.587	0.007
DB08931	Riociguat	-0.598	-0.425	-0.057	-0.62	-0.921	0.198	0.381	0.43	0.107	0.027
DB01270	Ranibizumab	-0.597	-0.523	-0.113	-0.433	-0.631	0.204	0.314	0.399	0.2	0.165
DB09083	Ivabradine	-0.596	-0.371	0.053	-0.691	-0.941	0.209	0.462	0.54	0.095	0.031
DB00435	Nitric Oxide	-0.595	-0.498	-0.208	-0.73	-0.833	0.254	0.385	0.394	0.076	0.061
DB06987	(R)-Atenolol	-0.595	-0.407	0.667	-0.915	-0.555	0.147	0.368	0.725	0.073	0.228
DB07642	"5-{[1-(2-fluorobenzyl)piperidin-4-yl]methoxy}quinazoline-2,4-diamine"	-0.595	-0.487	0.351	-0.37	-0.923	0.134	0.266	0.627	0.178	0.024
DB09158	Trypan blue free acid	-0.595	-0.353	-0.439	-0.516	-0.839	0.137	0.385	0.08	0.195	0.064
DB01143	Amifostine	-0.593	-0.404	0.942	-0.259	-0.766	0.156	0.296	0.793	0.2	0.102
DB02052	Indirubin-3'-Monoxime	-0.593	-0.168	-0.235	-1.141	-0.588	0.164	0.316	0.32	0.078	0.173
DB04444	Tetrafluoroaluminate Ion	-0.593	-0.477	0.086	0.496	-0.421	0.25	0.262	0.374	0.43	0.258
DB00452	Framycetin	-0.592	-0.412	-1.351	-0.918	0.07	0.203	0.289	0.058	0.13	0.453
DB02638	Terlipressin	-0.592	-0.483	-0.664	-0.639	-0.766	0.159	0.29	0.132	0.108	0.081
DB02018	Amido Phenyl Pyruvic Acid	-0.59	-0.9	0.214	0.294	0.024	0.174	0.093	0.483	0.377	0.451
DB00195	Betaxolol	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB00612	Bisoprolol	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB01102	Arbutamine	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB01203	Nadolol	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB01218	Halofantrine	-0.588	-0.734	-1.121	-0.926	-0.246	0.162	0.164	0.065	0.11	0.271
DB01274	Arformoterol	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB01955	"1,4-Butanediol"	-0.588	-0.608	1.162	-0.133	-0.565	0.14	0.168	0.849	0.358	0.201
DB08808	Bupranolol	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB08893	Mirabegron	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB09080	Olodaterol	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB09082	Vilanterol	-0.588	0.081	-1.915	0.226	-1.366	0.233	0.516	0.012	0.47	0.05
DB00070	Hyaluronidase (ovine)	-0.587	-0.314	0.296	0.283	-1.315	0.201	0.427	0.542	0.514	0
DB02333	Deoxyuridine-5'-Triphosphate	-0.587	-0.36	0.344	-1.537	-1.284	0.155	0.311	0.52	0.042	0.027
DB06205	Vorhyaluronidase alfa	-0.587	-0.314	0.296	0.283	-1.315	0.201	0.427	0.542	0.514	0
DB04566	Inosinic Acid	-0.583	-0.476	-1.395	-0.157	0.348	0.236	0.242	0.059	0.283	0.531
DB00138	Cystine	-0.582	-0.32	0.26	-0.405	-0.869	0.236	0.491	0.613	0.266	0.057
DB00207	Azithromycin	-0.582	-0.223	1.112	0.009	0.246	0.251	0.341	0.768	0.399	0.5
DB02795	P-Anisic Acid	-0.582	-0.367	0.769	-1.036	-0.942	0.196	0.412	0.759	0.065	0.04
DB03661	Cysteinesulfonic Acid	-0.582	-0.806	-0.134	-0.199	0.608	0.238	0.162	0.173	0.31	0.645
DB07248	"7-PYRIDIN-2-YL-N-(3,4,5-TRIMETHOXYPHENYL)-7H-PYRROLO[2,3-D]PYRIMIDIN-2-AMINE"	-0.582	0.418	-1.654	-0.822	-0.362	0.231	0.612	0.026	0.143	0.29
DB01246	Alimemazine	-0.581	-0.416	0.355	-0.396	-0.826	0.217	0.349	0.644	0.187	0.07
DB04456	Arsenous acid	-0.581	-0.515	1.948	0.63	-1.131	0.155	0.218	0.936	0.691	0.036
DB00135	Tyrosine	-0.58	-0.421	0.269	-0.572	-1.545	0.251	0.289	0.432	0.156	0.036
DB06267	Udenafil	-0.579	-0.467	-0.363	-0.626	-0.76	0.212	0.384	0.268	0.104	0.112
DB09488	Acrivastine	-0.579	-0.467	-0.363	-0.626	-0.76	0.212	0.384	0.268	0.104	0.112
DB01791	Piclamilast	-0.578	-0.313	0.479	-0.956	-0.684	0.217	0.318	0.553	0.093	0.162
DB00274	Cefmetazole	-0.577	-0.47	0.276	-0.46	-0.859	0.261	0.421	0.62	0.184	0.071
DB00436	Bendroflumethiazide	-0.576	0.105	1.813	-0.672	-1.692	0.24	0.51	0.934	0.18	0.02
DB03884	Phenylpyruvic acid	-0.575	-0.414	0.098	-0.647	-0.959	0.231	0.422	0.545	0.106	0.038
DB07352	Apigenin	-0.575	-0.911	-2.495	-1.556	0.638	0.154	0.111	0.002	0.043	0.716
DB04310	2-[(Formyl-Hydroxy-Amino)-Methyl]-Heptanoic Acid [1-(2-Hydroxymethyl-Pyrrolidine-1-Carbonyl)-2-Methyl-Propyl]-Amide	-0.574	-0.356	-1.55	0.167	1.702	0.242	0.315	0.025	0.467	0.935
DB02375	Myricetin	-0.573	-0.947	-1.01	-0.188	0.091	0.227	0.114	0.118	0.407	0.493
DB09231	Benidipine	-0.57	-0.39	0.836	-0.014	-0.646	0.189	0.291	0.749	0.255	0.167
DB08221	N-{4-METHYL-3-[(3-PYRIMIDIN-4-YLPYRIDIN-2-YL)AMINO]PHENYL}-3-(TRIFLUOROMETHYL)BENZAMIDE	-0.569	0.043	0.459	-0.798	-1.136	0.175	0.537	0.576	0.102	0.054
DB00439	Cerivastatin	-0.568	-0.357	1.11	0.119	-1.104	0.161	0.323	0.818	0.302	0.042
DB02142	Pyridoxamine-5'-Phosphate	-0.568	-0.282	0.65	-0.127	-1.211	0.177	0.382	0.692	0.239	0.029
DB03660	4-Iodo-L-phenylalanine	-0.568	-0.246	0.066	-0.161	-0.981	0.171	0.422	0.43	0.239	0.049
DB07276	"5-CYANO-N-(2,5-DIMETHOXYBENZYL)-6-ETHOXYPYRIDINE-2-CARBOXAMIDE"	-0.568	-0.818	1.203	-0.16	0.105	0.234	0.139	0.83	0.323	0.442
DB02459	4-Guanidinobenzoic Acid	-0.567	0.046	1.598	-2.26	-1.455	0.251	0.474	0.883	0.014	0.046
DB13159		-0.566	-0.427	0.713	-1.042	-0.98	0.229	0.359	0.748	0.042	0.036
DB00946	Phenprocoumon	-0.565	-0.022	-2.148	0.013	-0.692	0.309	0.727	0	0.369	0.139
DB01153	Sertaconazole	-0.565	-0.527	-1.263	-0.949	-0.25	0.187	0.202	0.046	0.099	0.254
DB01418	Acenocoumarol	-0.565	-0.022	-2.148	0.013	-0.692	0.309	0.727	0	0.369	0.139
DB04881	Elacridar	-0.564	-0.421	-0.329	-0.559	-0.714	0.245	0.41	0.287	0.124	0.125
DB03083	IC261	-0.563	0.449	0.484	-2.29	-1.345	0.155	0.664	0.339	0.012	0.052
DB08180	2-[METHYL-(5-GERANYL-4-METHYL-PENT-3-ENYL)-AMINO]-ETHYL-DIPHOSPHATE	-0.563	-0.076	0.908	-0.164	-1.116	0.183	0.546	0.755	0.24	0.021
DB01207	Ridogrel	-0.562	-0.455	0.243	-0.509	-0.891	0.189	0.345	0.577	0.145	0.049
DB00562	Benzthiazide	-0.561	0.185	1.95	-1.227	-1.598	0.255	0.516	0.936	0.085	0.039
DB01282	Carbetocin	-0.561	-0.41	-0.541	-0.522	-0.699	0.206	0.333	0.177	0.125	0.109
DB04387	1-Hydroxy-2-Amino-3-Cyclohexylpropane	-0.56	-0.449	0.868	-0.526	-0.704	0.213	0.317	0.815	0.125	0.104
DB03052	Dazoxiben	-0.558	-0.432	-0.033	-0.67	-0.85	0.316	0.475	0.492	0.096	0.054
DB08604	Triclosan	-0.558	-0.45	-0.9	-0.187	-0.622	0.187	0.233	0.132	0.333	0.192
DB02515	3-Phosphoglycerol	-0.556	-0.357	0.128	-0.021	-0.782	0.151	0.319	0.454	0.285	0.1
DB00620	Triamcinolone	-0.555	0.043	-1.599	-2.001	-0.414	0.191	0.425	0.041	0.017	0.237
DB00938	Salmeterol	-0.555	0.021	-0.764	0.867	-1.301	0.249	0.457	0.125	0.767	0.056
DB04878	Voglibose	-0.555	-0.295	0.218	-0.664	-1.029	0.247	0.516	0.578	0.111	0.021
DB07853	"[4-({4-[(5-CYCLOPROPYL-1H-PYRAZOL-3-YL)AMINO]QUINAZOLIN-2-YL}IMINO)CYCLOHEXA-2,5-DIEN-1-YL]ACETONITRILE"	-0.555	-0.345	1.388	-1.228	-0.766	0.189	0.374	0.879	0.038	0.088
