cmap_instance	drugbank_id	name	dose	cell_line	mers1_es	mers1_p	sars1_es	sars1_p	sars2_es	sars2_p
2389	DB00831	Trifluoperazine	0.0000084	HL60	0	1	0	0.99	0	0.95
2390	DB00357	Aminoglutethimide	0.0000172	HL60	0	1	0	0.99	0	0.98
2391	DB00540	Nortriptyline	0.0000134	HL60	0	1	0	1	0.575908832	0
2392	DB00645	Dyclonine	0.0000122	HL60	0	1	0	1	0.406996749	0
2393	DB00860	Prednisolone	0.000011	HL60	0	1	0	1	0.571328699	0
2394	DB00711	Diethylcarbamazine	0.0000102	HL60	0	1	0.464086699	0.11	0	0.96
2395	DB13292	Pimethixene	0.0000098	HL60	0	1	0	0.98	-0.332156414	0.94
2396	DB01127	Econazole	0.000009	HL60	0	1	0	1	0	0.98
2397	DB00584	Enalapril	0.0000082	HL60	0	1	0	1	0.383763983	0.01
2398	DB13785	Dropropizine	0.000017	HL60	0	1	0	1	0	0.97
2399	DB04552	Niflumic acid	0.0000142	HL60	0	1	0	1	0	0.98
2400	DB00985	Dimenhydrinate	0.0000086	HL60	0	1	0.65384336	0	0.521011348	0
2401	DB01039	Fenofibrate	0.000011	HL60	0	1	0	1	0.509538071	0.02
2402	DB06777	Chenodeoxycholic acid	0.0000102	HL60	0	1	0	0.99	0	0.96
2403	DB01186	Pergolide	0.0000098	HL60	0	1	0	0.99	-0.364691571	0.97
2404	DB00297	Bupivacaine	0.0000124	HL60	0	1	0	0.99	0	0.96
2405	DB01017	Minocycline	0.000008	HL60	0	1	-0.421036657	1	0	0.97
2406	DB06762	Pinacidil	0.0000164	HL60	0	1	0	1	0	1
2407	DB00982	Isotretinoin	0.0000134	HL60	0	1	0	0.98	0.469043423	0.02
2408	DB00280	Disopyramide	0.0000118	HL60	0	1	0	0.99	0.575955729	0
2409	DB00887	Bumetanide	0.000011	HL60	0	1	0	1	0.547266702	0
2410	DB01074	Perhexiline	0.0000102	HL60	-0.500701541	1	0	1	0.589543006	0
2411	DB13783	Acemetacin	0.0000096	HL60	0	1	0	0.99	0.387005136	0.02
2412	DB00283	Clemastine	0.0000086	HL60	0	1	0	1	0.465269432	0.02
2423	DB00390	Digoxin	0.0000052	HL60	-0.37031812	1	0	0.98	-0.565212964	0.99
2424	DB00737	Meclizine	0.0000086	HL60	0	1	0	1	0	0.96
2426	DB00396	Progesterone	0.0000128	HL60	0	1	0	1	0.430637916	0
2427	DB00639	Butoconazole	0.0000084	HL60	0	1	0.557106908	0.05	0	0.99
2428	DB00121	Biotin	0.0000164	HL60	0	1	0	1	0.37085382	0.01
2431	DB01065	Melatonin	0.0000172	HL60	0	1	0	0.99	0.400967063	0.01
2432	DB01400	Neostigmine	0.0000132	HL60	0	1	0	1	0	0.97
2433	DB01023	Felodipine	0.0000104	HL60	0	1	-0.500064856	1	0	0.99
2434	DB01118	Amiodarone	0.0000058	HL60	0	1	0.660858173	0	0	0.95
2435	DB09020	Bisacodyl	0.000011	HL60	0	1	0	1	0	0.97
2436	DB00169	Cholecalciferol	0.0000104	HL60	0	1	-0.49583236	1	0	1
2437	DB00389	Carbimazole	0.0000214	HL60	0	1	0	1	0.570462228	0
2438	DB01085	Pilocarpine	0.0000148	HL60	0	1	0	0.99	0.355596416	0.03
2439	DB00170	Menadione	0.0000232	HL60	-0.530983855	1	-0.524149739	1	0.371962665	0.01
2440	DB13661	Niridazole	0.0000186	HL60	0	1	0	1	0.423566839	0.03
2441	DB00681	Amphotericin B	0.0000044	HL60	0	1	0	0.99	0.45263764	0
2442	DB00153	Ergocalciferol	0.00001	HL60	0	1	0	1	0	0.93
2443	DB00604	Cisapride	0.0000086	HL60	0	1	0	1	0.570247773	0
2445	DB00485	Dicloxacillin	0.0000082	HL60	0	1	0	0.98	0	0.98
2446	DB12789	Dinoprost	0.0000084	HL60	0	1	0.494444444	0.06	0.558013434	0
2447	DB00923	Ceforanide	0.0000076	HL60	0	1	0	0.99	0	0.93
2448	DB08437	Puromycin	0.0000074	HL60	-0.554146035	1	-0.45	0.99	0.538084877	0.01
2449	DB08839	Serotonin	0.0000188	HL60	0	1	0.746828547	0	0.473022499	0
2451	DB00340	Metixene	0.0000116	HL60	0	1	0	0.99	0.688990271	0
2452	DB01080	Vigabatrin	0.000031	HL60	0	1	0	1	0.457864244	0.01
2453	DB00472	Fluoxetine	0.0000116	HL60	0.399735668	0	0	0.99	0.441417156	0
2454	DB02691	Glycocholic acid	0.0000086	HL60	0	1	0	1	0.538069722	0
2456	DB01188	Ciclopirox	0.000015	HL60	-0.4512903	1	-0.554729292	1	0	0.89
2457	DB08958	Hexetidine	0.0000118	HL60	0	1	0	0.98	0.462651995	0
2458	DB00229	Cefotiam	0.0000072	HL60	0	1	0	0.99	0.453096045	0
2459	DB00336	Nitrofural	0.0000202	HL60	0	1	0	0.99	0.510846263	0
2460	DB00810	Biperiden	0.0000114	HL60	0	1	0.750262018	0	0.405388052	0.02
2461	DB01362	Iohexol	0.0000048	HL60	0	1	0	1	0	0.95
2462	DB11467	Thiostrepton	0.0000024	HL60	0.39160241	0	0	1	0	0.95
2464	DB01032	Probenecid	0.000014	HL60	0	1	0.473575116	0.04	0	0.96
2465	DB01037	Selegiline	0.0000178	HL60	0	1	0	0.98	0	0.95
2467	DB00338	Omeprazole	0.0000116	HL60	0	1	-0.365658806	1	-0.530472213	1
2468	DB00341	Cetirizine	0.0000086	HL60	0	1	0	1	-0.509108492	1
2470	DB14103	Methionine sulfoximine	0.0000222	HL60	0	1	0.461111111	0.11	0	0.99
2471	DB03783	Phenacetin	0.0000224	HL60	0	0.99	0.490909798	0.04	0	0.94
2472	DB06698	Betahistine	0.0000172	HL60	0	1	0.45	0.08	0	0.98
2473	DB00738	Pentamidine	0.0000068	HL60	0	1	0.462098218	0.15	0	0.98
2475	DB12867	Benperidol	0.0000104	HL60	0	1	0	0.99	0	0.95
2476	DB00550	Propylthiouracil	0.0000234	HL60	0	1	-0.483075207	1	0	0.94
2478	DB00339	Pyrazinamide	0.0000324	HL60	0	1	0	1	0	0.92
2479	DB00730	Thiabendazole	0.0000198	HL60	0	1	0.428174696	0.16	0.43061105	0.01
2480	DB01117	Atovaquone	0.000011	HL60	0	1	0	1	0	0.95
2481	DB00684	Tobramycin	0.0000086	HL60	0	1	0	1	0	0.94
2482	DB00839	Tolazamide	0.0000128	HL60	0	1	0	1	0	0.97
2483	DB00833	Cefaclor	0.0000104	HL60	0	1	0.467186811	0.09	0	0.97
2484	DB00251	Terconazole	0.0000076	HL60	-0.495657054	1	-0.555733261	1	0	0.95
2485	DB00816	Orciprenaline	0.0000076	HL60	0	1	0	0.98	-0.373671562	0.97
2486	DB00347	Trimethadione	0.000028	HL60	0	1	0	1	0	0.92
2487	DB01045	Rifampicin	0.0000048	HL60	0	1	0	0.99	0.481146919	0.01
2488	DB00723	Methoxamine	0.0000162	HL60	0	1	0	0.99	0	0.93
2490	DB13855	Nifuroxazide	0.0000146	HL60	0	1	0	1	0	0.94
2491	DB00803	Colistin	0.000003	HL60	0	1	0	0.97	0.600241599	0
2492	DB01600	Tiaprofenic acid	0.0000154	HL60	0	1	0	1	0.562940108	0
2493	DB12604	Sisomicin	0.0000028	HL60	0	1	0	0.98	0	0.92
2494	DB00227	Lovastatin	0.0000098	HL60	0	1	0	0.99	0	0.94
2495	DB00609	Ethionamide	0.000024	HL60	0	1	0	0.97	0	0.96
2497	DB02789	Pregnenolone	0.0000126	HL60	0	1	0	0.98	0.340002128	0.03
2498	DB00512	Vancomycin	0.0000026	HL60	0	1	0	0.99	0.464491161	0.01
2499	DB04216	Quercetin	0.0000118	HL60	-0.377626061	1	0	0.98	0.447175786	0
2500	DB00646	Nystatin	0.0000044	HL60	0	1	0	1	0.444463264	0
2501	DB00469	Tenoxicam	0.0000118	HL60	0	1	0	0.98	0.403449403	0.01
2503	DB13232	Suxibuzone	0.0000092	HL60	0	1	0	0.98	0.468271511	0.01
2506	DB04574	Estrone sulfate	0.0000092	HL60	0	1	0	1	0	0.97
2507	DB06764	Tetryzoline	0.0000168	HL60	0	1	-0.415863751	0.99	0	0.9
2508	DB11125	Benzethonium	0.000009	HL60	0	1	0	0.99	0.585875238	0
2509	DB00324	Fluorometholone	0.0000106	HL60	0	1	-0.527777778	1	0	0.92
2510	DB12736	Etanidazole	0.0000186	HL60	0	1	-0.464593872	1	0	0.96
2511	DB11336	Kinetin	0.0000186	HL60	0	1	-0.518233585	1	0	0.93
2515	DB07931	Hexestrol	0.0000148	HL60	0	1	0.452236231	0.09	0	0.9
2516	DB04571	Trioxsalen	0.0000176	HL60	0	1	0.443210885	0.1	0	0.92
2517	DB00456	Cefalotin	0.0000096	HL60	0	1	0	1	0	0.96
2520	DB14066	Tetrandrine	0.0000064	HL60	0	1	0	0.99	0.583170317	0
2524	DB00274	Cefmetazole	0.0000082	HL60	0.351624849	0	0	0.99	0.515253675	0
2526	DB01112	Cefuroxime	0.000009	HL60	0	1	0	0.99	0	0.91
2528	DB11464	Sulfaquinoxaline	0.0000124	HL60	0	0.99	0	0.99	0	0.96
2529	DB14128	Nadide	0.000006	HL60	0.347081073	0.01	0.625247101	0	0.408404472	0
2530	DB01162	Terazosin	0.0000094	HL60	0.292728353	0.03	0.448933769	0.11	-0.300400867	0.83
2531	DB11148	Butamben	0.0000206	HL60	0.383530887	0.02	0	0.98	0.511161539	0
2532	DB00240	Alclometasone	0.0000076	HL60	0	1	0	1	0.436134477	0.01
2533	DB00788	Naproxen	0.0000158	HL60	0	1	0	1	0.612154207	0
2535	DB00428	Streptozocin	0.000015	HL60	0	1	0	1	0.561103236	0
2536	DB00576	Sulfamethizole	0.0000148	HL60	0	1	0	0.98	0	0.96
2537	DB01438	Phenazopyridine	0.000016	HL60	-0.482345085	1	0.383085584	0.19	0	0.89
2538	DB00891	Sulfapyridine	0.000016	HL60	-0.413082246	1	-0.524119906	1	0	0.92
2539	DB01097	Leflunomide	0.0000148	HL60	0	1	0	0.98	0	0.92
2540	DB01179	Podofilox	0.0000096	HL60	-0.304611252	1	0.461164293	0.06	0.563566836	0
2542	DB13337	Pheneticillin	0.00001	HL60	0	1	0	1	0.399236606	0.01
2543	DB00264	Metoprolol	0.0000058	HL60	-0.411967879	1	0	0.99	0	0.89
2544	DB00253	Medrysone	0.0000116	HL60	-0.455556609	1	-0.560242042	1	0	0.92
2545	DB00618	Demeclocycline	0.000008	HL60	0	1	-0.444875088	1	-0.454663151	0.96
2546	DB13758	Meclofenoxate	0.0000136	HL60	0	1	0	1	0	0.93
2547	DB00367	Levonorgestrel	0.0000128	HL60	0	1	-0.525428697	1	0	0.93
2549	DB09002	Cloperastine	0.000011	HL60	0	1	-0.480135938	0.99	0	0.97
2550	DB13773	Sulfamethoxypyridazine	0.0000142	HL60	0	1	0.451825045	0.07	-0.390353517	0.99
2551	DB00663	Flumethasone	0.0000098	HL60	0	1	0	1	0	0.92
2552	DB11518	Flunixin	0.0000082	HL60	0	1	-0.540682803	1	0	0.9
2553	DB00573	Fenoprofen	0.0000072	HL60	0	1	-0.519873142	1	0	0.92
2555	DB00436	Bendroflumethiazide	0.0000094	HL60	0	1	0.566666667	0	0.292294374	0.02
2557	DB01195	Flecainide	0.0000084	HL60	0	1	0	0.99	0.328638086	0.02
2558	DB06145	Spiramycin	0.0000048	HL60	0.373223507	0	0	0.99	0.378821582	0.01
2560	DB01582	Sulfamethazine	0.0000134	HL60	0	1	-0.545249955	1	0	0.98
2561	DB00266	Dicoumarol	0.0000118	HL60	0	1	0	1	0	0.95
2562	DB01247	Isocarboxazid	0.0000172	HL60	0.307464035	0.04	-0.447435598	0.98	0	0.9
2563	DB01365	Mephentermine	0.0000094	HL60	-0.432635243	1	-0.494444444	1	0	0.92
2564	DB01327	Cefazolin	0.0000084	HL60	0	1	0	0.99	0.353224077	0.02
2565	DB00986	Glycopyrronium	0.00001	HL60	0	1	0.547272161	0.01	0.534668087	0
2567	DB00255	Diethylstilbestrol	0.000015	HL60	0	1	0	0.99	0.579249038	0
2568	DB00911	Tinidazole	0.0000162	HL60	-0.422485713	1	0	0.99	-0.487500581	1
2569	DB00874	Guaifenesin	0.0000202	HL60	0	1	0	0.98	-0.4196937	0.99
2570	DB00763	Methimazole	0.000035	HL60	0	1	0	0.99	0.597581041	0
2575	DB00226	Guanadrel	0.0000076	HL60	0	0.99	0	0.99	0.385960112	0
2577	DB13392	Mercurochrome	0.000005	HL60	0.398815278	0.01	0	1	0.596321419	0
2578	DB06150	Sulfadimethoxine	0.0000128	HL60	0	1	0	1	0.527272316	0
2579	DB00650	Leucovorin	0.0000078	HL60	0	1	0	0.99	0.481927532	0
2580	DB11430	Monensin	0.0000058	HL60	0	0.99	0	0.98	0	0.87
2618	DB01035	Procainamide	0.0000148	MCF7	0	1	-0.577214829	1	0	0.93
2620	DB01060	Amoxicillin	0.000011	MCF7	0	1	0	0.99	-0.602656341	1
2621	DB09022	Benfluorex	0.0000104	MCF7	-0.518933234	1	0	0.99	0	0.92
2622	DB13588	Naftidrofuryl	0.0000084	MCF7	0.306072127	0.02	0	0.98	0	0.88
2623	DB11186	Pentoxyverine	0.0000076	MCF7	0	1	0.515497964	0.04	0	0.9
2624	DB00882	Clomifene	0.0000066	MCF7	-0.456287449	1	0	0.98	0	0.95
2627	DB01239	Chlorprothixene	0.0000114	MCF7	-0.624711482	1	-0.661111111	1	0	0.92
2628	DB00567	Cephalexin	0.000011	MCF7	0	1	0	0.99	0	0.98
2629	DB01244	Bepridil	0.00001	MCF7	-0.488256795	1	-0.522222222	1	0	0.92
2630	DB01393	Bezafibrate	0.000011	MCF7	0	1	0	1	0	0.94
2631	DB04209	Dequalinium	0.0000076	MCF7	-0.5568879	1	-0.577777778	1	0	0.96
2632	DB13670	Oxantel	0.0000066	MCF7	0	1	0	1	0	0.92
2633	DB00382	Tacrine	0.0000158	MCF7	0	1	0	1	0	0.95
2634	DB01018	Guanfacine	0.0000142	MCF7	0	1	-0.694444444	1	-0.663618026	1
2635	DB00867	Ritodrine	0.0000124	MCF7	0	1	0	1	-0.555142103	1
2636	DB00514	Dextromethorphan	0.0000108	MCF7	0	1	0	1	0	0.9
2637	DB00490	Buspirone	0.0000094	MCF7	0.415023522	0.01	0	1	0	0.97
2638	DB01055	Mimosine	0.0000202	MCF7	0	1	0	1	0	0.94
2640	DB01026	Ketoconazole	0.0000076	MCF7	0	1	0	0.98	-0.53992629	0.99
2641	DB00433	Prochlorperazine	0.0000066	MCF7	0	1	0	0.99	0	0.96
2642	DB00612	Bisoprolol	0.000009	MCF7	0	1	0.528116326	0.05	0	0.92
2643	DB00875	Flupentixol	0.0000078	MCF7	0	1	0	0.98	0	0.94
2644	DB00363	Clozapine	0.0000122	MCF7	0	1	-0.584620074	1	0	0.95
2645	DB00450	Droperidol	0.0000106	MCF7	0	1	0.687996472	0	0.582471642	0
2646	DB13511	Clebopride	0.0000082	MCF7	0	1	0	0.97	0	0.94
2647	DB02703	Fusidic acid	0.0000074	MCF7	0	1	0	0.99	0.496975979	0.02
2648	DB04703	Hesperidin	0.0000066	MCF7	0	1	0	1	0	0.94
2649	DB00624	Testosterone	0.0000116	MCF7	0	1	-0.64987418	1	0	0.92
2651	DB13340	Suloctidil	0.0000118	MCF7	-0.619947833	1	-0.664098373	1	0	0.92
2653	DB00783	Estradiol	0.0000146	MCF7	0	1	0	0.99	0.639221773	0
2655	DB01184	Domperidone	0.0000074	MCF7	0	1	-0.655555556	1	0	0.91
2656	DB01092	Ouabain	0.0000054	MCF7	-0.39068788	1	0	1	-0.569405491	1
2657	DB04365	Arecoline	0.000017	MCF7	0	1	0	0.99	0.583694311	0
2658	DB07374	Anisomycin	0.000015	MCF7	-0.825084762	1	0	0.98	0.542703301	0
2663	DB00502	Haloperidol	0.00001	HL60	0.470821263	0	0	0.99	0.648286954	0
2664	DB00945	Acetylsalicylic acid	0.0001	HL60	0	1	0	0.99	0.460235005	0
2665	DB00947	Fulvestrant	0.000001	HL60	0.515686976	0	0	0.98	0.345783609	0.04
2666	DB05134	Tanespimycin	0.000001	HL60	0.382114515	0	0	0.98	0.561603853	0
2667	DB00877	Sirolimus	0.0000001	HL60	0	1	0.435362026	0.14	0.460859152	0
2668	DB00783	Estradiol	0.0000001	HL60	0.439195007	0	0	0.97	0.485032727	0
2669	DB00313	Valproic Acid	0.001	HL60	0.438293848	0	0	0.96	0.560325157	0
2671	DB00755	Tretinoin	0.000001	HL60	0.413432903	0	0	0.98	0	0.95
2673	DB12442	Alvespimycin	0.0000001	HL60	0.414570127	0.01	0	0.97	0.601368418	0
2674	DB00313	Valproic Acid	0.0002	HL60	0.434076155	0	0	0.97	0	0.92
2675	DB00433	Prochlorperazine	0.00001	HL60	-0.400468241	1	-0.422222222	1	0.46973421	0
2676	DB02656	LY-294002	0.0000001	HL60	0.427246224	0	0	0.99	0.604243191	0
2677	DB00477	Chlorpromazine	0.000001	HL60	0	1	0.399239889	0.14	0	0.94
2678	DB05134	Tanespimycin	0.000001	HL60	0	1	0	0.99	0	0.96
2680	DB02546	Vorinostat	0.00001	HL60	0.403808081	0	0	0.99	0.560715057	0
2681	DB00877	Sirolimus	0.0000001	HL60	0	0.99	0	1	0.465624338	0.01
2682	DB00313	Valproic Acid	0.00005	HL60	0	1	0	0.99	0	0.87
2683	DB00179	Masoprocol	0.000001	HL60	0	1	0	0.97	0	0.86
2684	DB00831	Trifluoperazine	0.00001	HL60	-0.384795387	1	-0.488947259	1	0.43951503	0.01
2685	DB05134	Tanespimycin	0.000001	HL60	0.417701681	0	0	0.98	0.525909386	0
2686	DB05134	Tanespimycin	0.000001	HL60	0	1	0	0.94	0.531189437	0
2687	DB02656	LY-294002	0.00001	HL60	0	1	0	0.98	0	0.82
2688	DB02424	Geldanamycin	0.000001	HL60	0	1	0	0.98	0.548053099	0
2689	DB00363	Clozapine	0.00001	HL60	0.433398359	0	0.526075959	0.01	0	0.88
2690	DB00679	Thioridazine	0.00001	HL60	-0.414261591	1	-0.450081718	1	0	0.9
2692	DB00197	Troglitazone	0.00001	HL60	0.477720902	0	0	0.99	0	0.88
2693	DB00412	Rosiglitazone	0.00001	HL60	0.499945337	0	0	0.98	0.558681657	0
2695	DB01645	Genistein	0.00001	HL60	0	1	0	0.95	0.465855286	0
2696	DB02656	LY-294002	0.00001	HL60	0	1	0	0.97	0.54827745	0
2697	DB00623	Fluphenazine	0.00001	HL60	0	1	0	0.98	0.549857798	0
2698	DB00947	Fulvestrant	0.00000001	HL60	0	1	0	1	0.438654343	0
2699	DB02656	LY-294002	0.00001	HL60	0	0.99	0	1	0.458209972	0
2700	DB00313	Valproic Acid	0.0005	HL60	0.318763991	0.03	0	0.95	0	0.89
2701	DB00783	Estradiol	0.00000001	HL60	0	1	0	1	0.724229966	0
2702	DB00877	Sirolimus	0.0000001	HL60	0	1	0	0.98	0.471390426	0
2703	DB08059	Wortmannin	0.00000001	HL60	0	1	0	0.93	0.568098733	0
2704	DB00502	Haloperidol	0.00001	HL60	0	1	0	0.96	0.465449945	0
2705	DB03615	Ribostamycin	0.0000072	HL60	0	1	0	0.98	-0.366321254	0.95
2706	DB00194	Vidarabine	0.000015	HL60	-0.402245557	1	0.578919241	0	0	0.9
2708	DB00473	Hexylcaine	0.0000134	HL60	0	1	0	1	0	0.93
2709	DB00259	Sulfanilamide	0.0000232	HL60	0	1	0.386223312	0.13	0	0.84
2710	DB06707	Levonordefrin	0.0000218	HL60	0	1	0	0.96	0.422863575	0.02
2711	DB00221	Isoetarine	0.000012	HL60	0	1	0.389914909	0.14	0	0.9
2712	DB06821	Sulfameter	0.0000142	HL60	0	1	-0.422222222	0.98	0	0.92
2713	DB04828	Zomepirac	0.0000128	HL60	0	1	0.450442317	0.07	0	0.98
2715	DB13642	Pridinol	0.0000102	HL60	0	1	0	0.99	0.439475208	0.01
2717	DB12610	Ebselen	0.0000146	HL60	0	1	0	0.97	0	0.91
2720	DB01625	Isopropamide	0.0000084	HL60	0	1	0	0.97	0	0.91
2722	DB00827	Cinoxacin	0.0000152	HL60	0	1	0.346678081	0.11	0	0.96
2724	DB01427	Amrinone	0.0000214	HL60	0	1	0	0.98	0	0.88
2725	DB00748	Carbinoxamine	0.0000098	HL60	0	1	0	0.98	0.488325749	0
2727	DB01061	Azlocillin	0.0000082	HL60	0	1	0.386456793	0.15	0.379955763	0.01
2728	DB11502	Butacaine	0.000013	HL60	0	1	0	0.97	0	0.87
2730	DB01139	Cefapirin	0.000009	HL60	0	1	0	0.99	-0.359987861	0.91
2731	DB00996	Gabapentin	0.0000234	HL60	0	1	0	1	0	0.93
2732	DB08947	Iopamidol	0.0000052	HL60	0	1	0	0.98	0	0.95
2733	DB00703	Methazolamide	0.000017	HL60	0	1	-0.511793395	1	-0.523542258	1
2734	DB00771	Clidinium	0.0000092	HL60	0	0.99	-0.470674761	1	0	0.85
2735	DB01331	Cefoxitin	0.0000088	HL60	0	0.99	0	0.97	-0.424645232	1
2736	DB01246	Alimemazine	0.0000054	HL60	0	1	0.443068202	0.12	0.32623735	0.02
2737	DB00254	Doxycycline	0.0000084	HL60	0	0.99	-0.496880432	1	0	0.73
2738	DB00481	Raloxifene	0.0000078	HL60	-0.325042569	0.99	0	0.96	0	0.78
2739	DB09156	Iopromide	0.000005	HL60	0	0.99	0	0.94	0.357972293	0.07
2740	DB13331	Pyrithyldione	0.000024	HL60	0	0.99	0	0.97	0	0.82
2741	DB13242	Bucladesine	0.0000078	HL60	-0.424793527	1	0	1	0	0.84
2743	DB04284	L-proline betaine	0.0000222	MCF7	0	1	0	1	0.633122866	0
2744	DB00449	Dipivefrin	0.0000104	MCF7	0	1	0	0.99	0	0.94
2745	DB06174	Noscapine	0.0000096	MCF7	0.562693285	0	0	1	0.608498343	0
2747	DB01113	Papaverine	0.0000106	MCF7	0	1	-0.668079228	1	0	0.98
2751	DB00165	Pyridoxine	0.0000194	MCF7	0	1	0	1	0	0.99
2754	DB00851	Dacarbazine	0.000022	MCF7	0	1	0	1	0	0.98
2755	DB01392	Yohimbine	0.0000102	MCF7	0	1	0	1	0.693985736	0
2756	DB00586	Diclofenac	0.0000126	MCF7	0	1	0	0.99	0.536556732	0
2759	DB09028	Cytisine	0.000021	MCF7	0	1	-0.65	1	0	0.99
2760	DB00140	Riboflavin	0.0000106	MCF7	0	1	0	1	0	0.96
2761	DB00572	Atropine	0.0000058	MCF7	0	1	0	1	0	0.99
2762	DB00332	Ipratropium	0.0000098	MCF7	0	1	0	0.99	0	0.97
2763	DB05137	Lobeline	0.0000106	MCF7	0	1	0	1	0	0.99
2767	DB13718	Hydroquinine	0.0000094	MCF7	0	1	0.55	0.03	0.725440445	0
2768	DB00981	Physostigmine	0.0000062	MCF7	0	1	-0.7	1	0	0.98
2769	DB01614	Acepromazine	0.000009	MCF7	0	1	-0.716234726	1	0	0.97
2770	DB04115	Berberine	0.0000108	MCF7	0.455001541	0.01	0	1	0.558030405	0
2773	DB00944	Demecarium	0.0000056	MCF7	0	1	0	1	0.717332232	0
2774	DB11696	Racecadotril	0.0000104	MCF7	0.511076072	0	0	0.99	0	0.96
2781	DB13793	Vinburnine	0.0000136	MCF7	0	1	0	1	0	0.92
2783	DB00158	Folic acid	0.000009	MCF7	0	1	0	0.99	0.710834054	0
2785	DB01180	Rescinnamine	0.0000064	MCF7	0	1	-0.772831868	1	0	1
2787	DB00674	Galantamine	0.0000108	MCF7	0	1	0	1	0	0.98
2788	DB11477	Xylazine	0.0000182	MCF7	0	1	0	1	0	0.97
2790	DB06727	Sparteine	0.000017	MCF7	0	1	0	0.98	0	0.95
2793	DB01049	Ergoloid mesylate	0.0000064	MCF7	0.494587533	0	0	0.98	0.751855516	0
2796	DB11562	Bicuculline	0.0000108	MCF7	0	1	0	1	0	0.98
2798	DB00223	Diflorasone	0.000008	MCF7	0	1	0	1	0	0.96
2801	DB13393	Emetine	0.0000072	MCF7	-0.8097143	1	-0.733333333	1	0	0.95
2805	DB13875	Harmaline	0.000014	MCF7	0	1	-0.688888889	1	0	0.97
2807	DB13683	Quinisocaine	0.000013	MCF7	-0.47486763	1	0	0.99	0	0.98
2809	DB00222	Glimepiride	0.0000082	MCF7	0	1	-0.705555556	1	0	0.96
2811	DB00378	Dydrogesterone	0.0000128	MCF7	0	1	-0.735032558	1	0	0.99
2814	DB09355	Sulfabenzamide	0.0000144	MCF7	0	1	0.622222222	0.03	0	0.94
2821	DB13580	Succinylsulfathiazole	0.0000112	MCF7	0	1	0	1	0.682862059	0
2822	DB01086	Benzocaine	0.0000242	MCF7	0	1	0	1	0.788089514	0
2823	DB11467	Thiostrepton	0.0000024	MCF7	0	1	0.522222222	0.09	0	0.98
2825	DB01032	Probenecid	0.000014	MCF7	0.557987099	0	0	0.98	0.536522025	0.01
2826	DB01037	Selegiline	0.0000178	MCF7	0	1	0	1	0	0.98
2828	DB00338	Omeprazole	0.0000116	MCF7	0	1	0	1	0	0.98
2829	DB00341	Cetirizine	0.0000086	MCF7	0	1	0.755555556	0	0	0.96
2831	DB14103	Methionine sulfoximine	0.0000222	MCF7	0	1	0	1	0.566125185	0
2832	DB03783	Phenacetin	0.0000224	MCF7	0	1	0.65	0.01	0.757835006	0
2833	DB06698	Betahistine	0.0000172	MCF7	0	1	0.527777778	0.05	0	0.99
2834	DB00738	Pentamidine	0.0000068	MCF7	0	1	0	1	0	1
2836	DB12867	Benperidol	0.0000104	MCF7	0	1	0	1	0	0.99
2837	DB00550	Propylthiouracil	0.0000234	MCF7	0	1	0.713492619	0	0	0.99
2839	DB00339	Pyrazinamide	0.0000324	MCF7	0	1	0	0.99	0	0.97
2840	DB00730	Thiabendazole	0.0000198	MCF7	0	1	0	1	0	0.98
2841	DB00684	Tobramycin	0.0000086	MCF7	0	1	-0.711111111	1	0	0.99
2842	DB00839	Tolazamide	0.0000128	MCF7	0	1	0	1	0.846969037	0
2843	DB00833	Cefaclor	0.0000104	MCF7	0	1	0	0.99	0	0.97
2844	DB00251	Terconazole	0.0000076	MCF7	0	1	0	1	0	0.99
2845	DB00816	Orciprenaline	0.0000076	MCF7	0	1	0	1	0	1
2846	DB00347	Trimethadione	0.000028	MCF7	0	1	0	1	0.598274601	0
2847	DB01045	Rifampicin	0.0000048	MCF7	0	1	0.716666667	0	0.563601255	0
2848	DB00723	Methoxamine	0.0000162	MCF7	0	1	0	1	0	0.9
2850	DB13855	Nifuroxazide	0.0000146	MCF7	0	1	0	1	0	0.97
2851	DB00803	Colistin	0.000003	MCF7	0	1	0	1	0.61791059	0
2852	DB01600	Tiaprofenic acid	0.0000154	MCF7	0	1	0	0.97	0.654587408	0
2853	DB12604	Sisomicin	0.0000028	MCF7	0	1	-0.785709653	1	0	0.98
2854	DB00227	Lovastatin	0.0000098	MCF7	0	1	0	1	0.741953217	0
2856	DB02789	Pregnenolone	0.0000126	MCF7	0	1	0.65	0.01	0.685148349	0
2857	DB01024	Mycophenolic acid	0.0000124	MCF7	0.620006672	0	0.727777778	0	0	0.96
2858	DB00512	Vancomycin	0.0000026	MCF7	0	1	0	1	0	0.98
2859	DB04216	Quercetin	0.0000118	MCF7	0	1	0	1	0	0.96
2860	DB00469	Tenoxicam	0.0000118	MCF7	0	1	-0.533333333	1	0	0.99
2861	DB09210	Piracetam	0.0000282	MCF7	0	1	0	1	0	0.96
2862	DB09282	Molsidomine	0.0000166	MCF7	0	1	0.71153008	0	-0.572205497	1
2863	DB00954	Dirithromycin	0.0000048	MCF7	0	1	0	1	0.579365922	0.01
2864	DB09167	Dosulepin	0.000012	MCF7	0.404890748	0	0	0.99	0	0.94
2865	DB02709	Resveratrol	0.0000176	MCF7	0	1	0	1	-0.69121776	1
2866	DB01222	Budesonide	0.0000092	MCF7	0	1	0	1	0	0.97
